condition,participant,trial,target_index,target_deg,rt_ms
s120,1,1,17,-43.0,274.0
s120,1,2,74,14.0,278.0
s120,1,3,38,-22.0,334.0
s120,1,4,99,39.0,271.0
s120,1,5,44,-16.0,306.0
s120,1,6,79,19.0,239.0
s120,1,7,51,-9.0,323.0
s120,1,8,111,51.0,NAN
s120,1,9,56,-4.0,NAN
s120,1,10,13,-47.0,378.0
s120,1,11,46,-14.0,367.0
s120,1,12,62,2.0,303.0
s120,1,13,12,-48.0,326.0
s120,1,14,70,10.0,NAN
s120,1,15,9,-51.0,437.0
s120,1,16,108,48.0,349.0
s120,1,17,118,58.0,353.0
s120,1,18,116,56.0,340.0
s120,1,19,78,18.0,363.0
s120,1,20,112,52.0,309.0
s120,1,21,84,24.0,336.0
s120,1,22,117,57.0,343.0
s120,1,23,80,20.0,NAN
s120,1,24,96,36.0,280.0
s120,1,25,104,44.0,344.0
s120,1,26,6,-54.0,376.0
s120,1,27,31,-29.0,365.0
s120,1,28,15,-45.0,438.0
s120,1,29,114,54.0,283.0
s120,1,30,83,23.0,292.0
s120,1,31,22,-38.0,299.0
s120,1,32,10,-50.0,264.0
s120,1,33,39,-21.0,297.0
s120,1,34,113,53.0,274.0
s120,1,35,33,-27.0,366.0
s120,1,36,1,-59.0,320.0
s120,1,37,32,-28.0,329.0
s120,1,38,19,-41.0,NAN
s120,1,39,102,42.0,395.0
s120,1,40,65,5.0,363.0
s120,1,41,76,16.0,286.0
s120,1,42,85,25.0,332.0
s120,1,43,98,38.0,292.0
s120,1,44,20,-40.0,313.0
s120,1,45,26,-34.0,372.0
s120,1,46,37,-23.0,469.0
s120,1,47,67,7.0,404.0
s120,1,48,5,-55.0,341.0
s120,1,49,45,-15.0,280.0
s120,1,50,61,1.0,301.0
s120,1,51,24,-36.0,406.0
s120,1,52,58,-2.0,372.0
s120,1,53,109,49.0,290.0
s120,1,54,53,-7.0,NAN
s120,1,55,52,-8.0,NAN
s120,1,56,2,-58.0,465.0
s120,1,57,110,50.0,440.0
s120,1,58,30,-30.0,NAN
s120,1,59,120,60.0,314.0
s120,1,60,23,-37.0,360.0
s120,1,61,81,21.0,NAN
s120,1,62,63,3.0,266.0
s120,1,63,91,31.0,329.0
s120,1,64,18,-42.0,437.0
s120,1,65,106,46.0,310.0
s120,1,66,101,41.0,299.0
s120,1,67,75,15.0,335.0
s120,1,68,48,-12.0,439.0
s120,1,69,41,-19.0,NAN
s120,1,70,68,8.0,302.0
s120,1,71,88,28.0,367.0
s120,1,72,27,-33.0,321.0
s120,1,73,97,37.0,368.0
s120,1,74,36,-24.0,274.0
